nohup: ignoring input
设备: cuda:0
可用显存: 31.4GB
加载 tokenizer...
加载模型（先 CPU 后 GPU）...
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights: 100%|██████████| 399/399 [00:00<00:00, 5959.13it/s]
  模型加载后显存: 0.0GB（应为 0，模型在 CPU）
trainable params: 7,667,712 || all params: 8,198,403,072 || trainable%: 0.0935
  移到 GPU 后显存: 15.3GB / 31.4GB
加载数据...
  数据加载完成: 25704 条

训练配置:
  模型: /root/autodl-tmp/model_cache/Qwen/Qwen3-8B
  总数据: 25704 条
  batch: 1, grad_accum: 8, 等效 batch: 8
  max_length: 2048
  seed: 42
  max_updates: 未设置
  max_samples: 未设置
  总更新步数: 9639

Epoch 1/3
  update 2070 | loss 0.7255 | lr 1.62e-04
  update 2080 | loss 0.7243 | lr 1.62e-04
  update 2090 | loss 0.7249 | lr 1.61e-04
  update 2100 | loss 0.6912 | lr 1.61e-04
  update 2110 | loss 0.7030 | lr 1.61e-04
  update 2120 | loss 0.7236 | lr 1.61e-04
  update 2130 | loss 0.6917 | lr 1.61e-04
  update 2140 | loss 0.7178 | lr 1.60e-04
  update 2150 | loss 0.7046 | lr 1.60e-04
  update 2160 | loss 0.7004 | lr 1.60e-04
  update 2170 | loss 0.7166 | lr 1.60e-04
  update 2180 | loss 0.7124 | lr 1.60e-04
  update 2190 | loss 0.7083 | lr 1.59e-04
  update 2200 | loss 0.7032 | lr 1.59e-04
  update 2210 | loss 0.7078 | lr 1.59e-04
  update 2220 | loss 0.6947 | lr 1.59e-04
  update 2230 | loss 0.7145 | lr 1.58e-04
  update 2240 | loss 0.7322 | lr 1.58e-04
  update 2250 | loss 0.7162 | lr 1.58e-04
  update 2260 | loss 0.7101 | lr 1.58e-04
  update 2270 | loss 0.7076 | lr 1.58e-04
  update 2280 | loss 0.7126 | lr 1.57e-04
  update 2290 | loss 0.7045 | lr 1.57e-04
  update 2300 | loss 0.7341 | lr 1.57e-04
  update 2310 | loss 0.7463 | lr 1.57e-04
  update 2320 | loss 0.7086 | lr 1.57e-04
  update 2330 | loss 0.6800 | lr 1.56e-04
  update 2340 | loss 0.7108 | lr 1.56e-04
  update 2350 | loss 0.7018 | lr 1.56e-04
  update 2360 | loss 0.7224 | lr 1.56e-04
  update 2370 | loss 0.7118 | lr 1.55e-04
  update 2380 | loss 0.7220 | lr 1.55e-04
  update 2390 | loss 0.7046 | lr 1.55e-04
  update 2400 | loss 0.7151 | lr 1.55e-04
  update 2410 | loss 0.7071 | lr 1.55e-04
  update 2420 | loss 0.7328 | lr 1.54e-04
  update 2430 | loss 0.7328 | lr 1.54e-04
  update 2440 | loss 0.7235 | lr 1.54e-04
  update 2450 | loss 0.7294 | lr 1.54e-04
  update 2460 | loss 0.7399 | lr 1.54e-04
  update 2470 | loss 0.7134 | lr 1.53e-04
  update 2480 | loss 0.7041 | lr 1.53e-04
  update 2490 | loss 0.7032 | lr 1.53e-04
  update 2500 | loss 0.7341 | lr 1.53e-04
  checkpoint 保存: output/sft_clean_repair_v1/checkpoint_update_2500
  update 2510 | loss 0.7067 | lr 1.52e-04
  update 2520 | loss 0.7096 | lr 1.52e-04
  update 2530 | loss 0.7289 | lr 1.52e-04
  update 2540 | loss 0.7077 | lr 1.52e-04
  update 2550 | loss 0.7072 | lr 1.52e-04
  update 2560 | loss 0.7047 | lr 1.51e-04
  update 2570 | loss 0.7466 | lr 1.51e-04
  update 2580 | loss 0.6928 | lr 1.51e-04
  update 2590 | loss 0.7005 | lr 1.51e-04
  update 2600 | loss 0.7380 | lr 1.51e-04
  update 2610 | loss 0.7107 | lr 1.50e-04
  update 2620 | loss 0.6920 | lr 1.50e-04
  update 2630 | loss 0.7209 | lr 1.50e-04
  update 2640 | loss 0.7044 | lr 1.50e-04
  update 2650 | loss 0.7569 | lr 1.49e-04
  update 2660 | loss 0.7155 | lr 1.49e-04
  update 2670 | loss 0.6982 | lr 1.49e-04
  update 2680 | loss 0.7339 | lr 1.49e-04
  update 2690 | loss 0.7094 | lr 1.49e-04
  update 2700 | loss 0.7303 | lr 1.48e-04
  update 2710 | loss 0.7112 | lr 1.48e-04
  update 2720 | loss 0.7248 | lr 1.48e-04
  update 2730 | loss 0.7194 | lr 1.48e-04
  update 2740 | loss 0.7123 | lr 1.48e-04
  update 2750 | loss 0.7457 | lr 1.47e-04
  update 2760 | loss 0.7446 | lr 1.47e-04
  update 2770 | loss 0.7213 | lr 1.47e-04
  update 2780 | loss 0.7252 | lr 1.47e-04
  update 2790 | loss 0.7305 | lr 1.47e-04
  update 2800 | loss 0.7270 | lr 1.46e-04
  update 2810 | loss 0.7071 | lr 1.46e-04
  update 2820 | loss 0.7120 | lr 1.46e-04
  update 2830 | loss 0.7349 | lr 1.46e-04
  update 2840 | loss 0.7123 | lr 1.45e-04
  update 2850 | loss 0.7513 | lr 1.45e-04
  update 2860 | loss 0.7273 | lr 1.45e-04
  update 2870 | loss 0.6699 | lr 1.45e-04
  update 2880 | loss 0.7390 | lr 1.45e-04
  update 2890 | loss 0.7018 | lr 1.44e-04
  update 2900 | loss 0.6965 | lr 1.44e-04
  update 2910 | loss 0.6921 | lr 1.44e-04
  update 2920 | loss 0.7543 | lr 1.44e-04
  update 2930 | loss 0.6977 | lr 1.44e-04
  update 2940 | loss 0.6963 | lr 1.43e-04
  update 2950 | loss 0.7039 | lr 1.43e-04
  update 2960 | loss 0.7116 | lr 1.43e-04
  update 2970 | loss 0.6978 | lr 1.43e-04
  update 2980 | loss 0.7212 | lr 1.42e-04
  update 2990 | loss 0.7383 | lr 1.42e-04
  update 3000 | loss 0.7258 | lr 1.42e-04
  checkpoint 保存: output/sft_clean_repair_v1/checkpoint_update_3000
  update 3010 | loss 0.7329 | lr 1.42e-04
  update 3020 | loss 0.7045 | lr 1.42e-04
  update 3030 | loss 0.7025 | lr 1.41e-04
  update 3040 | loss 0.6809 | lr 1.41e-04
  update 3050 | loss 0.7057 | lr 1.41e-04
  update 3060 | loss 0.6686 | lr 1.41e-04
  update 3070 | loss 0.7016 | lr 1.41e-04
  update 3080 | loss 0.7274 | lr 1.40e-04
  update 3090 | loss 0.7130 | lr 1.40e-04
  update 3100 | loss 0.7098 | lr 1.40e-04
  update 3110 | loss 0.7102 | lr 1.40e-04
  update 3120 | loss 0.7326 | lr 1.39e-04
  update 3130 | loss 0.7471 | lr 1.39e-04
  update 3140 | loss 0.7102 | lr 1.39e-04
  update 3150 | loss 0.6996 | lr 1.39e-04
  update 3160 | loss 0.7296 | lr 1.39e-04
  update 3170 | loss 0.6905 | lr 1.38e-04
  update 3180 | loss 0.7216 | lr 1.38e-04
  update 3190 | loss 0.6743 | lr 1.38e-04
  update 3200 | loss 0.7263 | lr 1.38e-04
  update 3210 | loss 0.7214 | lr 1.38e-04
Epoch 1 完成 | avg loss: 0.7235 | checkpoint: output/sft_clean_repair_v1/epoch_1

Epoch 2/3
  update 3220 | loss 0.6732 | lr 1.37e-04
  update 3230 | loss 0.6824 | lr 1.37e-04
  update 3240 | loss 0.6852 | lr 1.37e-04
  update 3250 | loss 0.6843 | lr 1.37e-04
  update 3260 | loss 0.6752 | lr 1.36e-04
  update 3270 | loss 0.6968 | lr 1.36e-04
  update 3280 | loss 0.7021 | lr 1.36e-04
  update 3290 | loss 0.7077 | lr 1.36e-04
  update 3300 | loss 0.6956 | lr 1.36e-04
  update 3310 | loss 0.7162 | lr 1.35e-04
  update 3320 | loss 0.7025 | lr 1.35e-04
  update 3330 | loss 0.6724 | lr 1.35e-04
  update 3340 | loss 0.6889 | lr 1.35e-04
  update 3350 | loss 0.6814 | lr 1.35e-04
  update 3360 | loss 0.6951 | lr 1.34e-04
  update 3370 | loss 0.7097 | lr 1.34e-04
  update 3380 | loss 0.6984 | lr 1.34e-04
  update 3390 | loss 0.6920 | lr 1.34e-04
  update 3400 | loss 0.7059 | lr 1.33e-04
  update 3410 | loss 0.6891 | lr 1.33e-04
  update 3420 | loss 0.7104 | lr 1.33e-04
  update 3430 | loss 0.7008 | lr 1.33e-04
  update 3440 | loss 0.6960 | lr 1.33e-04
  update 3450 | loss 0.7155 | lr 1.32e-04
  update 3460 | loss 0.7305 | lr 1.32e-04
  update 3470 | loss 0.6890 | lr 1.32e-04
  update 3480 | loss 0.7303 | lr 1.32e-04
  update 3490 | loss 0.7022 | lr 1.32e-04
  update 3500 | loss 0.7174 | lr 1.31e-04
  checkpoint 保存: output/sft_clean_repair_v1/checkpoint_update_3500
  update 3510 | loss 0.7024 | lr 1.31e-04
  update 3520 | loss 0.7164 | lr 1.31e-04
  update 3530 | loss 0.7130 | lr 1.31e-04
  update 3540 | loss 0.7169 | lr 1.30e-04
  update 3550 | loss 0.7045 | lr 1.30e-04
  update 3560 | loss 0.6856 | lr 1.30e-04
  update 3570 | loss 0.7059 | lr 1.30e-04
  update 3580 | loss 0.6991 | lr 1.30e-04
  update 3590 | loss 0.7001 | lr 1.29e-04
  update 3600 | loss 0.6906 | lr 1.29e-04
  update 3610 | loss 0.6931 | lr 1.29e-04
  update 3620 | loss 0.6945 | lr 1.29e-04
  update 3630 | loss 0.6754 | lr 1.29e-04
  update 3640 | loss 0.7186 | lr 1.28e-04
  update 3650 | loss 0.7047 | lr 1.28e-04
  update 3660 | loss 0.6776 | lr 1.28e-04
  update 3670 | loss 0.6898 | lr 1.28e-04
  update 3680 | loss 0.6621 | lr 1.27e-04
  update 3690 | loss 0.6605 | lr 1.27e-04
  update 3700 | loss 0.7109 | lr 1.27e-04
  update 3710 | loss 0.6993 | lr 1.27e-04
  update 3720 | loss 0.7010 | lr 1.27e-04
  update 3730 | loss 0.6790 | lr 1.26e-04
  update 3740 | loss 0.6951 | lr 1.26e-04
  update 3750 | loss 0.6717 | lr 1.26e-04
  update 3760 | loss 0.7150 | lr 1.26e-04
  update 3770 | loss 0.6832 | lr 1.26e-04
  update 3780 | loss 0.7002 | lr 1.25e-04
  update 3790 | loss 0.6925 | lr 1.25e-04
  update 3800 | loss 0.6981 | lr 1.25e-04
  update 3810 | loss 0.7167 | lr 1.25e-04
  update 3820 | loss 0.6915 | lr 1.24e-04
  update 3830 | loss 0.7094 | lr 1.24e-04
  update 3840 | loss 0.7056 | lr 1.24e-04
  update 3850 | loss 0.7032 | lr 1.24e-04
  update 3860 | loss 0.6952 | lr 1.24e-04
  update 3870 | loss 0.6822 | lr 1.23e-04
  update 3880 | loss 0.6902 | lr 1.23e-04
  update 3890 | loss 0.7073 | lr 1.23e-04
  update 3900 | loss 0.7229 | lr 1.23e-04
  update 3910 | loss 0.6889 | lr 1.23e-04
  update 3920 | loss 0.6663 | lr 1.22e-04
  update 3930 | loss 0.6957 | lr 1.22e-04
  update 3940 | loss 0.7007 | lr 1.22e-04
  update 3950 | loss 0.6940 | lr 1.22e-04
  update 3960 | loss 0.7145 | lr 1.21e-04
  update 3970 | loss 0.7198 | lr 1.21e-04
  update 3980 | loss 0.6898 | lr 1.21e-04
  update 3990 | loss 0.6953 | lr 1.21e-04
  update 4000 | loss 0.7233 | lr 1.21e-04
  checkpoint 保存: output/sft_clean_repair_v1/checkpoint_update_4000
  update 4010 | loss 0.7222 | lr 1.20e-04
  update 4020 | loss 0.7006 | lr 1.20e-04
  update 4030 | loss 0.7266 | lr 1.20e-04
  update 4040 | loss 0.7012 | lr 1.20e-04
  update 4050 | loss 0.7076 | lr 1.20e-04
  update 4060 | loss 0.7040 | lr 1.19e-04
  update 4070 | loss 0.7063 | lr 1.19e-04
  update 4080 | loss 0.7091 | lr 1.19e-04
  update 4090 | loss 0.6877 | lr 1.19e-04
  update 4100 | loss 0.7226 | lr 1.18e-04
  update 4110 | loss 0.7137 | lr 1.18e-04
